,3.13,1.81,1.48,1.43,1.26,1.17,1.14,1.12,1.10,1.03
cp_cc_estat,0.48,0.12,-0.08,-0.04,0.05,-0.03,0.05,-0.03,0.07,-0.03
ep_cc_reg,0.46,0.09,-0.07,-0.05,0.06,-0.03,0.08,-0.03,0.08,-0.03
cp_util_pay,0.36,0.06,0.14,0.20,0.03,-0.04,0.12,-0.04,0.13,0.06
ep_cc_dae_bte,0.31,0.15,-0.23,0.02,0.06,-0.09,0.08,0.22,-0.28,0.03
ep_cc_coc,0.26,0.14,-0.15,-0.01,0.03,-0.04,-0.09,-0.10,0.22,-0.16
cp_nb_usg,0.24,-0.10,0.47,-0.07,0.08,0.09,0.00,-0.04,-0.10,0.00
cp_casa_estat,0.20,-0.09,0.35,-0.08,-0.05,0.09,-0.11,-0.04,0.03,-0.02
ep_cc_plcc,0.17,0.10,-0.10,0.01,0.01,-0.05,-0.12,-0.13,0.28,-0.24
ep_hlth_ins,0.16,0.10,-0.19,0.02,0.05,-0.11,0.12,0.37,-0.49,0.10
ep_demat_flg,0.14,-0.64,-0.23,0.04,0.03,-0.01,-0.01,-0.05,-0.01,-0.02
cp_pb_tag,0.13,-0.01,0.14,0.00,-0.05,0.12,-0.25,-0.07,-0.04,0.17
ep_hsl_flg,0.13,-0.64,-0.24,0.04,0.03,-0.02,0.00,-0.04,-0.02,-0.02
cp_mb_usg,0.12,-0.02,0.15,0.04,0.02,0.16,-0.20,-0.02,-0.21,0.28
ep_pl_tag,0.11,0.06,-0.22,0.08,-0.14,0.13,-0.27,-0.15,0.13,0.21
cp_smrt_bill,0.07,0.00,-0.05,-0.56,-0.01,0.12,-0.35,0.02,-0.20,-0.12
ep_al_ucl_tag,0.06,0.00,-0.05,-0.02,-0.46,0.36,0.25,-0.08,-0.05,-0.07
ep_ca,0.06,-0.19,0.22,-0.04,0.12,0.05,0.06,-0.05,-0.01,0.02
salary,0.05,-0.07,0.26,-0.17,-0.26,-0.08,-0.01,0.10,0.09,-0.07
ep_td_tag,0.05,-0.10,0.19,-0.05,-0.08,-0.07,0.04,0.39,0.01,-0.04
ep_motr_ins,0.05,0.02,-0.05,0.00,-0.27,0.24,0.23,0.01,-0.18,-0.08
ep_mf_tag,0.03,-0.09,0.05,-0.03,-0.15,-0.11,0.00,0.30,0.14,-0.02
ep_cnc_tag,0.03,0.01,-0.06,0.00,-0.37,0.36,0.23,-0.12,-0.07,-0.05
ep_gl_tag,0.03,0.02,0.01,0.02,-0.15,-0.01,-0.13,-0.07,0.13,0.25
ep_hl_tag,0.03,-0.02,0.09,-0.06,-0.35,-0.41,0.02,-0.10,-0.01,-0.07
ep_dc_chrgd,0.03,-0.01,0.16,0.64,-0.03,-0.04,0.09,0.02,0.01,-0.02
ep_gift_plus,0.02,-0.02,0.09,-0.01,0.03,0.03,-0.02,0.01,0.01,0.11
ep_ins_tag,0.02,-0.02,-0.01,0.00,-0.13,-0.09,-0.03,0.37,0.14,0.02
cp_atm_tag,0.02,0.04,-0.05,0.30,-0.10,0.06,-0.42,0.04,-0.22,-0.16
ep_lock_flg,0.02,-0.04,0.04,-0.03,-0.22,-0.12,-0.02,0.31,0.22,0.10
ep_las_tag,0.01,-0.02,0.01,0.01,-0.07,-0.03,-0.01,0.02,0.11,0.13
ep_twl_tag,0.01,0.03,-0.14,0.05,-0.08,0.06,-0.20,-0.02,-0.01,0.35
ep_frx_pur_sale,0.01,-0.02,0.05,-0.02,-0.07,-0.01,0.02,0.05,0.04,0.40
ep_hom_ins,0.01,0.00,0.03,-0.03,-0.26,-0.50,0.02,-0.34,-0.24,0.02
ep_sa,0.01,-0.04,0.17,0.26,-0.11,0.06,-0.36,0.10,-0.23,-0.30
ep_cnsmer_tag,0.01,0.00,0.00,0.01,-0.01,0.04,0.01,-0.03,-0.02,0.18
ep_lap_tag,0.01,0.00,0.01,-0.02,-0.14,-0.31,0.01,-0.28,-0.23,0.09
ep_edu_tag,0.00,0.00,0.00,-0.01,0.01,0.01,0.03,0.00,0.00,0.14
ep_bl_tag,0.00,0.00,0.00,0.00,-0.01,0.00,0.02,0.03,-0.01,0.01
ep_trvl_ins,0.00,-0.01,0.01,0.00,-0.01,0.00,0.02,0.03,0.01,0.33
ep_trad_tag,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,0.02,0.02,0.21
ep_me_serv,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
ep_trak_tag,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,-0.01
ep_cv_tag,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
ep_insta_alrt,-0.03,0.02,-0.22,0.05,-0.29,-0.05,-0.26,0.15,0.19,-0.03
