income_band,category_l1,drcr_ind,cnt_cust,avg_prop,min_prop,max_prop,var_prop,median
1,HEALTH,D,6,0.0047510551,0.0001490817,0.0236390755,7.20011410063443E-005,0.0007217421
1,INTEREST,D,1,4.09905760534457E-006,4.09905760534457E-006,4.09905760534457E-006,0,4.09905760534457E-006
1,PETROL,D,16,0.00272919,0.0001853676,0.0126255741,1.29107350567687E-005,0.0011141964
1,UNKNOWN,D,248,0.2860716519,0.0011324764,1,0.0585045452,0.2236942053
2,BOUNCE CHARGES,D,15842,0.0006991553,9.77708154437096E-008,0.0256657097,2.10314402604052E-006,0.0002398509
2,BRANCH CHARGES,D,11374,0.0008981902,6.00542250595026E-007,1,8.86947414619356E-005,0.0005252132
2,CLOSING,D,139,0.0139081447,6.80454888879467E-007,0.5405424833,0.0042210506,0.000345531
2,CONSUMPTION,D,49205,0.6106469906,0,1,0.0733325638,0.6297322512
2,FOREX CHARGES,D,1202,0.0007221108,1.90667549304635E-007,0.0392069519,5.35225896087147E-006,9.77330928435549E-005
2,INVESTMENT,D,4595,0.0652951558,3.58758626362032E-007,1,0.0141910211,0.0203817785
2,KIDS,D,1468,0.0043786003,3.48250591741817E-006,0.469818294,0.0002832904,0.0021596106
2,LOCKER CHARGES,D,55,0.0029755293,0.0002284077,0.012987392,7.26590794033067E-006,0.0020271768
2,LOW BALANCE CHARGES,D,1599,0.0138373026,2.34602680393436E-007,0.892670393,0.0010867723,0.0063834563
2,SAVINGS,D,11106,0.0944466229,4.47655702373595E-006,1,0.0257758768,0.0311607253
2,STOCK CHARGES,D,309,0.01546915,0.0001658502,1,0.0057433937,0.0048640687
3,,D,113,0.0241041666,0.0015311864,0.0934989825,0.0002975336,0.0207595397
3,BOUNCE,D,2578,0.0681890692,3.1276409572456E-005,1,0.0105459347,0.0284644775
3,CHARITY,D,3276,0.0063553443,6.40210419078358E-006,0.3372032046,0.0001372909,0.0031125229
3,HOLD FUND,D,3094,0.034830896,2.16766943594848E-006,0.6448413134,0.0013253901,0.0230156761
3,INSURANCE,D,29260,0.037311906,1.14233068870817E-006,1,0.0022942811,0.0228052735
3,ONLINE WALLET,D,64337,0.0065665239,0,1,0.0001894454,0.002409579
3,PERSONAL,D,47555,0.0425225758,0.000000225,1,0.0048878943,0.0181069262
3,PREMAT CHARGES,D,241,0.0002856613,6.86207272337924E-007,0.0027977074,1.92188442224313E-007,0.0001134061
3,REMITTANCE,D,4,0.0390066502,0.0028756442,0.0792282522,0.0013125061,0.0369613506
3,SWEEP,D,203,0.085106182,3.45362309417396E-007,0.6684678197,0.0159634128,0.0195287913
3,TRAVEL,D,88214,0.0213851898,0,1,0.0012503752,0.0100657661
3,UNKNOWABLE,D,46504,0.024440738,3.94593428154622E-007,1,0.003614451,0.0058539147
4,BILL PAYMENT,D,157584,0.1173822753,0,1,0.0175061613,0.0686525851
4,CHARGES,D,146584,0.0010720727,0,1,8.92299385616759E-005,0.0004868164
4,EMI,D,88371,0.1473013937,8.42929694044869E-007,1,0.0165894777,0.1158678681
4,PETROL CHARGES,D,61976,0.0002237823,9.34192883050855E-007,0.0273225103,1.49301602592792E-007,9.53479102463461E-005
4,TAX,D,3449,0.0170191021,7.53769580086328E-009,1,0.0019474801,0.0027034993
5,FOREX,D,285,0.0001355305,7.25484255781339E-007,0.0054383851,2.07243853870762E-007,4.80332164443098E-005
5,HEALTH,D,6790,0.0044741274,0,0.3687946498,0.0001566147,0.0013710817
5,INTEREST,D,630,0.0024239803,2.8108200922361E-007,0.1654207557,0.000082904,1.98833804461174E-005
5,PETROL,D,11868,0.0027237466,0,0.2122704685,3.35465515708882E-005,0.0011413401
5,REVERSAL,D,201,0.0011054879,2.23781853492255E-006,0.0094250487,1.92808585388752E-006,0.0008211853
5,SELF,D,20,0.1245912487,0.0008672182,0.4183672071,0.0102875008,0.1240774542
5,UNKNOWN,D,128927,0.3503485396,0.000000051,1,0.0507965615,0.329035908
6,BOUNCE CHARGES,D,23631,0.0002239242,2.95081363788086E-008,0.0150795337,0.000000259,6.91935783834197E-005
6,BRANCH CHARGES,D,25038,0.0003446293,2.94772149800337E-007,0.4282664955,8.03079935354765E-006,0.0001774709
6,CLOSING,D,424,0.0073940682,8.07916435974221E-008,0.3770599067,0.0006915809,0.0002480213
6,CONSUMPTION,D,99590,0.3869175778,0,1,0.0610796046,0.3356558681
6,FOREX CHARGES,D,5926,0.0005112551,9.83125136855279E-009,0.2432530969,1.16216763184436E-005,7.67747624195181E-005
6,INVESTMENT,D,18726,0.0620644049,3.8307356931E-007,1,0.0103914757,0.0224427655
6,KIDS,D,3737,0.0016033683,0,0.0878468454,1.20048185082107E-005,0.0007924091
6,LOCKER CHARGES,D,495,0.0013239342,5.69418771192431E-005,0.0092830583,9.56779941919608E-007,0.001082015
6,LOW BALANCE CHARGES,D,2241,0.0036238987,1.65497198167941E-008,1,0.0010026928,0.0008770616
6,SAVINGS,D,29779,0.1126006922,0,1,0.0256351645,0.0429170616
6,STOCK CHARGES,D,598,0.0036167634,1.0654449397407E-005,1,0.0016714094,0.0012876196
7,,D,80,0.0146490372,0.0005154807,0.0787646696,0.0001686517,0.0110008158
7,BOUNCE,D,1463,0.0456449698,2.35026054724585E-005,0.6491283774,0.0049028223,0.0196528826
7,CHARITY,D,920,0.0040748786,7.55094106352772E-007,0.1765240729,4.64707329883179E-005,0.0030820197
7,HOLD FUND,D,402,0.0222490312,1.28612027765485E-005,0.2310966551,0.0007417484,0.0125157945
7,INSURANCE,D,26859,0.0272609108,1.99066153072636E-006,1,0.0011733929,0.0176224783
7,ONLINE WALLET,D,13512,0.002775514,0,0.8269940019,9.42048046872676E-005,0.0008485914
7,PERSONAL,D,19685,0.0361213326,1.2644333935441E-007,0.9978333116,0.0040680174,0.0141110774
7,PREMAT CHARGES,D,280,0.0002254664,0.000000582,0.0022898926,0.000000149,8.71420998009853E-005
7,REMITTANCE,D,10,0.0720019458,0.0123488866,0.2643031776,0.0053036154,0.0527057722
7,SWEEP,D,354,0.0668720363,0.000000058,0.4418826997,0.0078624876,0.0306828506
7,TRAVEL,D,39102,0.0138824752,0,1,0.0005841973,0.0062193628
7,UNKNOWABLE,D,22132,0.0400145691,0,1,0.0066149124,0.0072145774
8,BILL PAYMENT,D,47091,0.1172989995,0,1,0.0144492875,0.082816042
8,CHARGES,D,35803,0.0007392016,1.00918322587518E-008,1,0.0001799564,0.0002828979
8,EMI,D,28636,0.1614302079,2.21722544324621E-007,1,0.0205503196,0.1203829497
8,PETROL CHARGES,D,19815,0.000188654,4.66465223780688E-007,0.0273211934,1.55470094143996E-007,7.21518736099824E-005
